scientific_name,common_name,family,watering_frequency,notes,toxicity,repotting,light_requirements,health
Allium cepa,Лук,Овощное,1 раз в неделю,"Поливать умеренно, избегать переувлажнения.",Нет,редко,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Beta vulgaris,Свекла,Овощное,1–2 раза в неделю,"Почва должна быть влажной для хорошего роста корней.",Нет,редко,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Cucumis sativus,Огурец,Овощное,2–3 раза в неделю,"Важно поливать регулярно, особенно в жаркую погоду.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Spinacia oleracea,Спинаж,Овощное,2–3 раза в неделю,"Любит влажную почву. Поливать утром.",Нет,редко,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Cactaceae spp.,Кактусы,Комнатное/Садовое,1 раз в месяц,"Высокая засухоустойчивость. Переливание опаснее, чем пересыхание.",Нет,раз в 3–5 лет,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Aloe vera,Лечебный алоэ,Комнатное,1 раз в 2–3 недели,"Поливать только при полном высыхании почвы.",Нет,раз в 2–3 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Chamaedorea elegans,Пальма Чамедорея,Комнатное,1 раз в неделю,"Любит влажный воздух, но почва должна быть умеренно влажной.",Нет,раз в 2 года,полутень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Philodendron hederaceum,Филодендрон,Комнатное,1 раз в неделю,"Не поливать при низкой температуре.",Да,раз в 2 года,полутень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Dieffenbachia,Диффенбахия,Комнатное,1 раз в неделю,"Избегать переувлажнения. Поливать умеренно.",Да,раз в 2 года,полутень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Fern spp.,Папоротники,Комнатное/Садовое,2–3 раза в неделю,"Любит влажную почву и высокую влажность воздуха.",Нет,раз в 2 года,полутень/тень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Nerium oleander,Адамово яблоко,Садовое,1–2 раза в неделю,"Не переливать. Засухоустойчиво, но требует умеренного полива.",Да,раз в 3 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Tulipa spp.,Тюльпаны,Садовое,1 раз в неделю,"Поливать после появления листьев. Перестать поливать после цветения.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Hydrangea macrophylla,Гортензия,Садовое,2–3 раза в неделю,"Любит влажную почву. Поливать утром.",Нет,раз в 2 года,полутень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Ranunculus asiaticus,Ранункулюс,Садовое,1–2 раза в неделю,"Не допускать пересыхания почвы.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Lavandula angustifolia,Лаванда,Садовое,1 раз в неделю,"Не переливать. Засухоустойчива.",Нет,раз в 3 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Rheum rhaponticum,Ревень,Овощное,1–2 раза в неделю,"Любит влажную почву. Поливать регулярно.",Нет,раз в 3 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Brassica oleracea,Капуста,Овощное,1–2 раза в неделю,"Поливать умеренно, избегать пересыхания.",Нет,редко,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Allium sativum,Чеснок,Овощное,1 раз в неделю,"Не требует частого полива.",Нет,редко,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Helianthus annuus,Подсолнечник,Овощное/Садовое,1–2 раза в неделю,"Важно поливать регулярно в период цветения и плодоношения.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Zantedeschia aethiopica,Алиса,Комнатное/Садовое,1 раз в неделю,"Любит влажную почву, но избегать застоя воды.",Да,раз в 2 года,полутень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Anthurium,Антуриум,Комнатное,1 раз в неделю,"Поливать умеренно, избегать попадания воды в листья.",Да,раз в 2 года,полутень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Philodendron selloum,Филодендрон Селлум,Комнатное,1 раз в неделю,"Не допускать переувлажнения.",Да,раз в 2 года,полутень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Monstera deliciosa,Монстера,Комнатное,1–2 раза в неделю,"Любит влажную почву. Поливать после высыпания верхнего слоя.",Да,раз в 2 года,полутень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Spathiphyllum,Спатифиллум,Комнатное,1 раз в неделю,"Любит влажный воздух, но почва должна быть умеренно влажной.",Нет,раз в 2 года,полутень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Cyclamen persicum,Цикламен,Комнатное,1–2 раза в неделю,"Поливать аккуратно, избегая попадания воды в листья.",Нет,раз в 2 года,полутень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Paeonia officinalis,Пион,Садовое,1–2 раза в неделю,"Любит влажную почву. Поливать утром.",Нет,раз в 3 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Chrysanthemum morifolium,Хризантема,Садовое,2–3 раза в неделю,"Не допускать пересыхания почвы.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Viola odorata,Ландыш,Садовое,1 раз в неделю,"Любит влажную почву, но избегать застоя воды.",Нет,раз в 2 года,полутень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Digitalis purpurea,Диффенбахия,Садовое,1–2 раза в неделю,"Не переливать. Любит умеренную влажность.",Да,раз в 3 года,полутень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Fuchsia hybrida,Фуксия,Комнатное/Садовое,2–3 раза в неделю,"Любит влажную почву. Поливать утром.",Нет,раз в 2 года,полутень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Begonia semperflorens,Бегония,Комнатное/Садовое,1–2 раза в неделю,"Избегать переувлажнения. Поливать умеренно.",Нет,раз в 2 года,полутень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Geranium spp.,Герань,Садовое,1 раз в неделю,"Не допускать пересыхания почвы.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Rosa rugosa,Роза Rugosa,Садовое,2–3 раза в неделю,"Важно поливать утром, избегая попадания воды на листья.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Lilium lancifolium,Лилия Таджикская,Садовое,1–2 раза в неделю,"Почва должна быть влажной, но не залитой.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Hosta sieboldiana,Госта Сиболдии,Садовое,2–3 раза в неделю,"Любит влажную почву. Поливать в утренние часы.",Нет,раз в 3 года,полутень/тень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Cucumis melo,Арбуз,Овощное,2–3 раза в неделю,"Важно поливать регулярно, особенно в период плодоношения.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Beta vulgaris,Морковь,Овощное,1–2 раза в неделю,"Почва должна быть умеренно влажной.",Нет,редко,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Allium sativum,Чеснок,Овощное,1 раз в неделю,"Не требует частого полива.",Нет,редко,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Rheum palmatum,Ревень Кистевидный,Овощное,1–2 раза в неделю,"Любит влажную почву. Поливать регулярно.",Нет,раз в 3 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Brassica napus,Рапс,Сельскохозяйственное,1–2 раза в неделю,"Важно поливать в период цветения.",Нет,редко,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Helianthus tuberosus,Подсолнечник корнеплодный,Овощное,1–2 раза в неделю,"Любит влажную почву. Поливать умеренно.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Chenopodium quinoa,Киноа,Сельскохозяйственное,1 раз в неделю,"Засухоустойчива, но требует умеренного полива.",Нет,редко,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Zinnia elegans,Зинния,Садовое,2–3 раза в неделю,"Не допускать пересыхания почвы.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Antirrhinum majus,Лицо кролика,Садовое,1–2 раза в неделю,"Любит влажную почву. Поливать утром.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Asteraceae spp.,Астры,Садовое,1–2 раза в неделю,"Любит влажную почву. Поливать умеренно.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Lilium longiflorum,Лилия Пасхальная,Садовое,1 раз в неделю,"Поливать умеренно, избегать попадания воды в листья.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Ranunculus asiaticus,Ранункулюс,Садовое,1–2 раза в неделю,"Не допускать пересыхания почвы.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Dahlia pinnata,Дельфиниум,Садовое,2–3 раза в неделю,"Любит влажную почву. Поливать утром.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Gerbera jamesonii,Джербера,Садовое,1 раз в неделю,"Не переливать. Любит умеренную влажность.",Нет,раз в 2 года,полутень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Rosa chinensis,Китайская роза,Садовое,2–3 раза в неделю,"Поливать утром, избегая попадания воды на листья.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Hosta fortunei,Госта Фортуне,Садовое,2–3 раза в неделю,"Любит влажную почву. Поливать в утренние часы.",Нет,раз в 3 года,полутень/тень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Cucurbita maxima,Кабачок Крупноплодный,Овощное,2–3 раза в неделю,"Поливать утром, чтобы избежать гниения корней.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Solanum melongena,Баклажан,Овощное,1–2 раза в неделю,"Поливать умеренно, избегать пересыхания почвы.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Capsicum chinense,Перец Хабанero,Овощное,2–3 раза в неделю,"Не допускать пересыхания почвы.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Phaseolus coccineus,Фасоль Красная,Овощное,1–2 раза в неделю,"Поливать утром, чтобы листья высыхали к вечеру.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Allium tuberosum,Лук-шалот,Овощное,1 раз в неделю,"Поливать умеренно, избегать переувлажнения.",Нет,редко,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Beta vulgaris,Шпинат,Овощное,1–2 раза в неделю,"Почва должна быть влажной для хорошего роста корней.",Нет,редко,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Cucumis sativus,Огурец,Овощное,2–3 раза в неделю,"Важно поливать регулярно, особенно в жаркую погоду.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Spinacia oleracea,Спинаж,Овощное,2–3 раза в неделю,"Любит влажную почву. Поливать утром.",Нет,редко,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Heptapleurum arboricola,Шеффлера древесная,Комнатное,2-3 раза в неделю летом,"Зимой поливать реже: 1 раз в 7-10 дней.",Нет,раз в 2 года,полутень,"Болезнь/Паразиты не обнаружены. Растение здорово"
Codiaeum variegatum,Кодиеум пёстрый,Комнатное,Через день летом,"Зимой поливать реже: 1-2 раза в неделю. Вода должна быть комнатной температуры. Рекомендуется талая вода.",Нет,раз в 2 года,яркий свет,"Болезнь/Паразиты не обнаружены. Растение здорово"
Howea forsteriana,Ховея Форстера,Комнатное,1-2 раза в неделю,"Верхний слой почвы должен подсыхать между поливами.",Нет,раз в 3 года,яркий свет/полутень,"Болезнь/Паразиты не обнаружены. Растение здорово"
